Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle4,(((exo_controller).elbow).dm_motor).angle_in_degree
0,0.000000,-1.230708,92.5655136,89.416687
1,0.001986,-1.22864878,92.6034164,89.4385376
2,0.003984,-1.22584486,92.6414337,89.4604492
3,0.005987,-1.22436142,92.6792755,89.4823151
4,0.007988,-1.22279358,92.7172241,89.5478821
5,0.009999,-1.22330999,92.7548523,89.6134491
6,0.011988,-1.22427928,92.7925949,89.6571655
7,0.013983,-1.22529864,92.8302994,89.700882
8,0.015986,-1.22506237,92.8679733,89.7445831
9,0.017986,-1.22423017,92.9056168,89.8101654
10,0.019985,-1.22403276,92.943367,89.8538666
11,0.021999,-1.22323632,92.9809418,89.8757324
12,0.023990,-1.22353828,93.018486,89.897583
13,0.025984,-1.22229433,93.0559998,89.9412994
14,0.027984,-1.2202704,93.0934753,89.96315
15,0.029984,-1.2184782,93.1310577,90.028717
16,0.031998,-1.21682584,93.1683273,90.0724335
17,0.033985,-1.21550143,93.2057037,90.1161499
18,0.035985,-1.21491551,93.2430496,90.1380005
19,0.037985,-1.21602488,93.280365,90.1817169
20,0.039986,-1.21534526,93.3177795,90.2035828
21,0.042014,-1.21421027,93.3548813,90.2691498
22,0.044000,-1.21280491,93.3920975,90.2910004
23,0.045983,-1.21219325,93.4292755,90.3347168
24,0.047983,-1.21100235,93.4665604,90.3565674
25,0.049984,-1.21042633,93.5035324,90.3784332
26,0.052013,-1.2101773,93.5406036,90.3784332
27,0.053999,-1.21132004,93.577652,90.4221497
28,0.055988,-1.21178961,93.6147995,90.4658508
29,0.057987,-1.21315372,93.6516418,90.5314331
30,0.059988,-1.21490347,93.6885834,90.5751343
31,0.061987,-1.21801507,93.7254944,90.5970001
32,0.064014,-1.22039664,93.7625122,90.6407166
33,0.065989,-1.22179222,93.7993546,90.6844177
34,0.067986,-1.22321784,93.8361588,90.7281342
35,0.070072,-1.22429323,93.8729324,90.7937012
36,0.072065,-1.22632301,93.9096756,90.8374176
37,0.074050,-1.22810042,93.9463806,90.8592682
38,0.076194,-1.23004401,93.9830551,90.881134
39,0.078094,-1.23112822,94.0196915,90.9248505
40,0.080183,-1.23274016,94.0562973,90.9685516
41,0.081984,-1.23374116,94.0928726,91.0122681
42,0.084075,-1.23669398,94.1294098,91.0559845
43,0.085985,-1.23871326,94.1659088,91.0778351
44,0.087984,-1.24059701,94.2023773,91.0997009
45,0.089985,-1.2433306,94.2388153,91.1434174
46,0.091983,-1.24482417,94.2752151,91.1871185
47,0.094019,-1.24634445,94.3115845,91.230835
48,0.096005,-1.2485925,94.3479156,91.2745514
49,0.097985,-1.25190306,94.3842087,91.296402
50,0.099991,-1.25465429,94.4204788,91.3182678
51,0.101983,-1.25724149,94.4567032,91.3619843
52,0.103991,-1.25893331,94.492897,91.3838348
53,0.106000,-1.2609278,94.5290604,91.4275513
54,0.107986,-1.26464498,94.5653229,91.4712677
55,0.110000,-1.26852107,94.6012726,91.5149689
56,0.111986,-1.27112079,94.6374664,91.5586853
57,0.113984,-1.2732302,94.6734924,91.5805359
58,0.115998,-1.27591097,94.7094803,91.6024017
59,0.117984,-1.27875042,94.74543,91.6242523
60,0.119986,-1.2808584,94.7813492,91.6679687
61,0.121990,-1.28257358,94.8172302,91.7116852
62,0.123984,-1.28569353,94.8532181,91.7335358
63,0.125986,-1.28959358,94.8888931,91.7554016
64,0.127998,-1.29336548,94.9248123,91.7772522
65,0.129986,-1.2971642,94.960556,91.7991028
66,0.131988,-1.30162656,94.9962616,91.8428192
67,0.133983,-1.3058989,95.0317993,91.8646851
68,0.135986,-1.31022811,95.0675735,91.9083862
69,0.138005,-1.31423783,95.1031799,91.9739685
70,0.139991,-1.32084334,95.1387482,92.0176697
71,0.141985,-1.327299,95.1742783,92.0395355
72,0.143991,-1.33318639,95.2097778,92.0613861
73,0.145989,-1.33802593,95.2452393,92.083252
74,0.147984,-1.34158254,95.2808075,92.1051025
75,0.150002,-1.3443532,95.3160629,92.148819
76,0.151985,-1.34875882,95.3515549,92.1925354
77,0.153991,-1.35398281,95.386879,92.2362366
78,0.155985,-1.3587079,95.4221649,92.279953
79,0.157985,-1.36295962,95.45755,92.3018188
80,0.160009,-1.36685121,95.4927673,92.34552
81,0.161985,-1.36965787,95.5278091,92.3892365
82,0.163999,-1.37258792,95.5630875,92.4548035
83,0.165986,-1.37531888,95.5980682,92.4985199
84,0.167985,-1.37801874,95.6332703,92.5422363
85,0.169986,-1.3813262,95.6683121,92.5859528
86,0.172003,-1.38355076,95.7033157,92.6296539
87,0.173985,-1.38487351,95.7382812,92.6515198
88,0.175985,-1.3857317,95.7733459,92.6952362
89,0.177986,-1.38647819,95.8082428,92.7389374
90,0.179984,-1.3864187,95.8431015,92.7389374
91,0.182006,-1.38639808,95.8777924,92.7608032
92,0.183985,-1.38649893,95.9127121,92.7826538
93,0.185987,-1.38656139,95.9473267,92.8045197
94,0.187988,-1.38709068,95.9821777,92.8700867
95,0.189986,-1.38814378,96.0167236,92.9138031
96,0.192005,-1.38990259,96.051506,92.9793701
97,0.193983,-1.39193296,96.086113,93.0012207
98,0.195985,-1.39471602,96.1208115,93.0449982
99,0.197985,-1.39716339,96.1553497,93.0886993
100,0.199990,-1.39964831,96.1898499,93.1324158
101,0.202005,-1.40176129,96.2241821,93.1761322
102,0.203991,-1.4037739,96.2587433,93.2198486
103,0.205985,-1.40595996,96.2929993,93.2416992
104,0.207985,-1.40903485,96.3274918,93.2416992
105,0.209989,-1.41139531,96.3618088,93.2635498
106,0.212027,-1.4125061,96.3960876,93.3072662
107,0.213983,-1.41502845,96.430336,93.3509827
108,0.215999,-1.41812122,96.4645462,93.4165497
109,0.217985,-1.42234075,96.4987183,93.4602661
110,0.219987,-1.42562604,96.5328522,93.4821167
111,0.221986,-1.42869806,96.5669556,93.5039825
112,0.224000,-1.43175006,96.6010208,93.5258331
113,0.225984,-1.43623757,96.6349182,93.5695496
114,0.227985,-1.43911707,96.6690369,93.613266
115,0.229985,-1.44256759,96.7029877,93.6351166
116,0.231985,-1.44755065,96.736908,93.6569824
117,0.234005,-1.45176578,96.7707901,93.678833
118,0.235985,-1.45563614,96.8046341,93.7006836
119,0.237984,-1.46053362,96.8384399,93.7225494
120,0.239985,-1.46560991,96.8722076,93.7444
121,0.241984,-1.47052205,96.9059448,93.7662659
122,0.243991,-1.47554016,96.9396362,93.8318329
