Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,TargetAngle1,TargetAngle2
0,0.000000,-35.5681152,-22.8595028,-45.8121567,-0.896121025,-44.8481293,0.151871994
1,0.001959,-35.5366821,-22.8755627,-45.7902985,-0.852407455,-44.8209953,0.179003596
2,0.003961,-35.5057487,-22.8898697,-45.7902985,-0.830551147,-44.7940063,0.205991998
3,0.005963,-35.4752388,-22.9027615,-45.7684402,-0.808694363,-44.7669907,0.233008817
4,0.007964,-35.4443779,-22.9151421,-45.7247314,-0.786837578,-44.7398605,0.260140181
5,0.009977,-35.4127197,-22.9278927,-45.681015,-0.76498127,-44.7127876,0.287213743
6,0.011979,-35.3811188,-22.94207,-45.615448,-0.76498127,-44.6855965,0.314401984
7,0.013994,-35.3491821,-22.9582577,-45.5935898,-0.721268177,-44.6583824,0.341618627
8,0.015971,-35.3168144,-22.9751682,-45.5717316,-0.677554607,-44.6311378,0.368863672
9,0.017989,-35.2851028,-22.9913177,-45.5717316,-0.655698299,-44.6038628,0.396137029
10,0.019995,-35.2542305,-23.0060024,-45.549881,-0.61198473,-44.576561,0.423438728
11,0.022043,-35.2236328,-23.0192451,-45.549881,-0.590128422,-44.5493164,0.450681865
12,0.024132,-35.1935768,-23.0315819,-45.5280228,-0.568271637,-44.5218735,0.478126854
13,0.026085,-35.163475,-23.0433044,-45.4843063,-0.568271637,-44.4945755,0.505426228
14,0.027964,-35.1324043,-23.055048,-45.4405975,-0.546415329,-44.467247,0.532753587
15,0.029961,-35.1007233,-23.0677357,-45.3968811,-0.524558544,-44.4398041,0.560196042
16,0.031965,-35.0690269,-23.0816765,-45.3531647,-0.480845451,-44.4123344,0.587666571
17,0.033979,-35.0371742,-23.0968666,-45.3531647,-0.437131882,-44.3848343,0.615165114
18,0.035962,-35.0061798,-23.1120358,-45.3313141,-0.393418789,-44.3573952,0.642604232
19,0.037963,-34.976368,-23.1258221,-45.3313141,-0.371562481,-44.3298416,0.670158625
20,0.039965,-34.9472504,-23.1374207,-45.3313141,-0.349705696,-44.3022575,0.697740912
21,0.041958,-34.9178162,-23.1475296,-45.3094559,-0.327848911,-44.2746506,0.725351095
22,0.043973,-34.8875465,-23.1573181,-45.2875977,-0.327848911,-44.247097,0.752901316
23,0.045961,-34.8566132,-23.1675873,-45.2438812,-0.284135818,-44.2195206,0.780479193
24,0.047963,-34.8255768,-23.178854,-45.1783142,-0.240422726,-44.1918259,0.808172524
25,0.049963,-34.7941246,-23.1921387,-45.156456,-0.196709633,-44.1641083,0.835893631
26,0.051959,-34.7622261,-23.207058,-45.1127472,-0.174852848,-44.1363564,0.863642395
27,0.053961,-34.7305145,-23.2220535,-45.090889,-0.131139755,-44.1086693,0.89133054
28,0.055974,-34.699955,-23.2364311,-45.090889,-0.10928297,-44.080864,0.919134438
29,0.057959,-34.6700363,-23.2495937,-45.0690308,-0.0655698776,-44.0531235,0.94687748
30,0.059963,-34.6403961,-23.2610455,-45.0471725,-0.0437130928,-44.025177,0.974824846
31,0.061961,-34.610405,-23.2716351,-45.0034637,-0.0218567848,-43.9973755,1.00262272
32,0.063964,-34.5794716,-23.2821484,-44.9597473,0.0218567848,-43.9695511,1.03044784
33,0.065977,-34.5476341,-23.2932224,-44.9160385,0.0655698776,-43.9416122,1.05838895
34,0.067962,-34.5154877,-23.3053493,-44.8941803,0.10928297,-43.9137306,1.08626842
