Index,Time,(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[0],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[1],(((exo_controller).xzy_shoulder).INS_shoulder).xzy_order_angle[2],TargetAngle3,(((exo_controller).xzy_shoulder).dm_motor[1]).angle_in_degree,(((exo_controller).xzy_shoulder).dm_motor[0]).angle_in_degree
0,0,-8.26604748,-35.77808,16.8019199,0,31.1243,-14.3818665
1,0.001917,-8.25589848,-35.7771454,16.7923317,0,31.1243,-14.3600082
2,0.003917,-8.24602318,-35.7758675,16.7828827,0,31.1461544,-14.3381538
3,0.005916,-8.23560619,-35.7741051,16.7737942,0,31.189867,-14.3162956
4,0.007917,-8.22488022,-35.7719193,16.7650909,0,31.2335835,-14.2944412
5,0.00992,-8.21448708,-35.7693443,16.7561646,0,31.2991505,-14.2507248
6,0.011928,-8.20383358,-35.766613,16.7461929,0,31.3210087,-14.1851578
7,0.013919,-8.19277668,-35.7642899,16.7357426,0,31.3647213,-14.1632996
8,0.015918,-8.18202972,-35.7624474,16.7257938,0,31.3865795,-14.1195869
9,0.017928,-8.17162704,-35.7608337,16.7163239,0,31.4084339,-14.0977287
10,0.019912,-8.1609087,-35.7591057,16.7067299,0,31.4521465,-14.0977287
11,0.021917,-8.15049648,-35.7566605,16.6971436,0,31.4958591,-14.0758743
12,0.023935,-8.14063072,-35.7539024,16.6878319,0,31.5395756,-14.0103035
13,0.02592,-8.13098621,-35.7508812,16.6789265,0,31.56143,-13.9665909
14,0.027916,-8.12126923,-35.747448,16.6700153,0,31.5832882,-13.9447327
15,0.029916,-8.11073685,-35.7439384,16.6604843,0,31.6051426,-13.9447327
16,0.03192,-8.09916019,-35.7401733,16.649622,0,31.6270008,-13.9228783
17,0.03393,-8.08685493,-35.7362938,16.6372681,0,31.6707134,-13.9228783
18,0.035918,-8.07459068,-35.7328033,16.6250725,0,31.714426,-13.9228783
19,0.037918,-8.06235313,-35.729393,16.6132755,0,31.7581387,-13.9228783
20,0.039914,-8.05019855,-35.7255821,16.6022358,0,31.7799969,-13.9228783
21,0.041918,-8.03801918,-35.7210693,16.591526,0,31.8237095,-13.9010201
22,0.043919,-8.02533245,-35.7159119,16.5798893,0,31.8237095,-13.9010201
23,0.045928,-8.01238251,-35.7111473,16.5676651,0,31.8455677,-13.9010201
